\fixlen=T
|      cntr|    object|    source|                  ra|                 dec|
|int       |char      |char      |double              |double              |
|          |          |          |                    |                    |
|          |          |          |                    |                    |
          1  HIP 76395     simbad        234.047347220        -33.092804200 
          2  HIP 76736     simbad        235.048151170        -70.227883380 
          3  HIP 76782     simbad        235.157594050        -25.592521130 
          4  HIP 74499     simbad        228.366504780        -33.147278650 
          5  HIP 74376     simbad        227.983636930        -48.737824790 
          6  HIP 76995     simbad        235.815955200        -51.113687390 
          7  HIP 67970     simbad        208.791648170        -50.745260720 
          8  HIP 67497     simbad        207.477095750        -50.239964610 
          9  HIP 66963     simbad        205.868872540        -54.612079010 
         10  HIP 65089     simbad        200.111717020        -49.223668720 
         11  HIP 64995     simbad        199.831416590        -59.472343650 
         12  HIP 64184     simbad        197.317466930        -60.308347500 
         13  HIP 64053     simbad        196.909516330        -53.459763830 
         14  HIP 63886     simbad        196.385856310        -58.535544070 
         15  HIP 63839     simbad        196.258501330        -64.441583990 
         16   HIP 5626     simbad         18.070077500         79.673962630 
         17   HIP 7345     simbad         23.657411830        -15.676360520 
         18   HIP 7805     simbad         25.100277900        -60.999063410 
         19   HIP 8122     simbad         26.095042030         32.515877950 
         20  HIP 12361     simbad         39.781509940        -52.934806870 
         21  HIP 69682     simbad        213.958166200        -27.348607320 
         22  HIP 85157        ned        261.027540000         22.960360000 
         23  HIP 93542     simbad        285.778654080        -42.095107170 
         24  HIP 95270     simbad        290.745595830        -54.538047900 
         25   HIP 4267     simbad         13.646775280         19.188416960 
         26   HIP 8241     simbad         26.526097760        -53.522035530 
         27  HIP 11360        ned         36.567460000          6.292670000 
         28  HIP 11847     simbad         38.232543660         37.333622490 
         29  HIP 16449     simbad         52.973528900        -25.614149070 
         30  HIP 18437     simbad         59.122399210        -38.962168740 
         31  HIP 21604     simbad         69.565958360         20.684722670 
         32  HIP 22226     simbad         71.706371090        -26.302456700 
         33  HIP 23451     simbad         75.614318180          7.461020450 
         34  HIP 24528     simbad         78.932921570        -22.894361950 
         35  HIP 26453     simbad         84.415112480        -28.626295450 
         36  HIP 26966     simbad         85.840294050        -18.557477090 
         37  HIP 28230     simbad         89.469160050        -34.476114410 
         38  HIP 34276     simbad        106.587220420        -43.610749210 
         39  HIP 36948     simbad        113.947758000        -32.203900870 
         40  HIP 48164     simbad        147.261856050         34.085395110 
         41  HIP 48541     simbad        148.496456260         27.695457140 
         42  HIP 53524     simbad        164.262587500        -68.667348260 
         43  HIP 53911     simbad        165.466277970        -34.704731190 
         44  HIP 61782     simbad        189.942484900        -49.198762040 
         45  HIP 61960     simbad        190.471069070         10.235626330 
         46  HIP 73145        ned        224.227000000        -35.695390000 
         47  HIP 76736     simbad        235.048151170        -70.227883380 
         48  HIP 81641     simbad        250.161200740          4.219786770 
         49  HIP 92024     simbad        281.362085360        -64.871261050 
         50  HIP 95261     simbad        290.713359190        -54.423929800 
         51  HIP 95619     simbad        291.735345180        -29.743226940 
         52  HIP 99273     simbad        302.271728570        -26.224035050 
         53 HIP 101800     simbad        309.454664120         11.377676550 
         54 HIP 107022     simbad        325.124053020        -74.074280520 
         55 HIP 116431     simbad        353.900637720          8.382618290 
         56    HIP 746        ned          2.292040000         59.150220000 
         57   HIP 7978     simbad         25.622146190        -53.740833630 
         58   HIP 6686     simbad         21.453964460         60.235284030 
         59  HIP 74946     simbad        229.727424930        -68.679545930 
         60   HIP 6878        ned         22.142990000         42.267930000 
         61  HIP 10670     simbad         34.328612640         33.847193070 
         62  HIP 11486     simbad         37.041583380         29.669329360 
         63  HIP 19893     simbad         64.006607670        -51.486650140 
         64  HIP 20635     simbad         66.342354390         22.293871540 
         65  HIP 22439     simbad         72.426016820        -13.769669020 
         66  HIP 27321     simbad         86.821198700        -51.066511430 
         67  HIP 39757     simbad        121.886036760        -24.304324430 
         68  HIP 40938        ned        125.316940000          1.063790000 
         69  HIP 41307     simbad        126.415133380         -3.906421620 
         70  HIP 42430     simbad        129.782921250        -22.661891930 
         71  HIP 43970     simbad        134.312292760         15.322764230 
         72  HIP 44001     simbad        134.396666920         15.581281810 
         73  HIP 57632     simbad        177.264909760         14.572058060 
         74  HIP 68593        ned        210.631730000         31.660910000 
         75  HIP 70952        ned        217.691920000         63.185860000 
         76  HIP 71075     simbad        218.019465820         38.308251180 
         77  HIP 73512        ned        225.374890000         15.868890000 
         78  HIP 76267     simbad        233.671950020         26.714692780 
         79  HIP 76375     simbad        233.985693990         39.831119960 
         80  HIP 77163     simbad        236.347847160          5.447313650 
         81  HIP 78554     simbad        240.573715240         22.804452840 
         82  HIP 81126        ned        248.525750000         42.437080000 
         83  HIP 81800     simbad        250.615884680         49.936442720 
         84  HIP 82405     simbad        252.592716750         -2.654356800 
         85  HIP 85537     simbad        262.206894170          0.330625790 
         86  HIP 87108     simbad        266.973165550          2.707277780 
         87  HIP 88399     simbad        270.764214630        -51.649010250 
         88  HIP 90185     simbad        276.042993350        -34.384616490 
         89  HIP 91262     simbad        279.234734790         38.783688960 
         90 HIP 113368     simbad        344.412692720        -29.622237030 
         91 HIP 114189        ned        346.869370000         21.134360000 
         92   HIP 1185     simbad          3.700872970        -14.177699040 
         93   HIP 9570     simbad         30.741482460         33.284133700 
         94  HIP 10054     simbad         32.355472570         81.295942820 
         95  HIP 12964     simbad         41.687937250        -21.639522120 
         96  HIP 13005     simbad         41.793378930         15.307128270 
         97  HIP 13141     simbad         42.256195880        -62.806521510 
         98  HIP 14576        ned         47.042210000         40.955630000 
         99  HIP 15197     simbad         48.958444010         -8.819728340 
        100  HIP 16537     simbad         53.232687350         -9.458258660 
        101  HIP 18859        ned         60.652750000         -0.268310000 
        102  HIP 18975        ned         60.985460000          8.197190000 
        103  HIP 19704     simbad         63.312626350        -70.420451760 
        104  HIP 22845     simbad         73.723869860         10.150832010 
        105  HIP 25197     simbad         80.866015790         57.544397930 
        106  HIP 25790     simbad         82.609018280         15.360446900 
        107  HIP 27072     simbad         86.115795390        -22.448383560 
        108  HIP 27288     simbad         86.738920660        -14.821949980 
        109  HIP 27980     simbad         88.758158330         -0.507969440 
        110  HIP 28103     simbad         89.101220850        -14.167699690 
        111  HIP 32480     simbad        101.684742420         43.577424120 
        112  HIP 32775     simbad        102.504226370        -60.249143770 
        113  HIP 33690     simbad        104.998564390        -61.336181840 
        114  HIP 34819     simbad        108.109899160         24.128592870 
        115  HIP 35550     simbad        110.030749090         21.982316030 
        116  HIP 36906     simbad        113.817157990         40.506415740 
        117  HIP 41152     simbad        125.952094660         53.219711510 
        118  HIP 42028     simbad        128.506742350         -2.151550850 
        119  HIP 45758     simbad        139.963246490          5.216048310 
        120  HIP 51438     simbad        157.583862910        -71.992794500 
        121  HIP 51658        ned        158.308330000         40.425530000 
        122  HIP 52462     simbad        160.867799540        -29.064287370 
        123  HIP 53910     simbad        165.460318900         56.382426090 
        124  HIP 55505        ned        170.522250000        -24.777640000 
        125  HIP 56253     simbad        172.960546300         81.127257290 
        126  HIP 56675     simbad        174.315151280        -75.896545180 
        127  HIP 60074        ned        184.777540000         16.548670000 
        128  HIP 61174     simbad        188.017610540        -16.196004580 
        129  HIP 61498     simbad        189.004295850        -39.869507500 
        130  HIP 63584        ned        195.445210000         63.610310000 
        131  HIP 64375     simbad        197.913325020        -26.551723470 
        132  HIP 64921     simbad        199.599615070        -78.823126450 
        133  HIP 68101     simbad        209.137265530        -54.704667090 
        134  HIP 69732     simbad        214.095911650         46.088305700 
        135  HIP 70090     simbad        215.139301200        -37.885293100 
        136  HIP 70344     simbad        215.880512000         39.327784370 
        137  HIP 71284     simbad        218.670070810         29.745127500 
        138  HIP 73049     simbad        223.936286440        -33.855783660 
        139  HIP 73473        ned        225.243290000         -8.518940000 
        140  HIP 74596     simbad        228.621493870         29.164293800 
        141  HIP 76127     simbad        233.232425600         31.359132270 
        142  HIP 76635        ned        234.754390000         -0.311540000 
        143  HIP 76829     simbad        235.297404130        -44.661206340 
        144  HIP 77542     simbad        237.490616050         -3.921206380 
        145  HIP 83480     simbad        255.922683330         -0.145950000 
        146  HIP 87558        ned        268.309420000          6.101250000 
        147  HIP 90936        ned        278.253540000        -39.891830000 
        148  HIP 96468     simbad        294.180316920         -1.286600300 
        149  HIP 99473     simbad        302.826108330         -0.821475000 
        150 HIP 101612     simbad        308.895213010        -60.581751560 
        151 HIP 101769     simbad        309.387255420         14.595088750 
        152 HIP 102409     simbad        311.289714480        -31.340900700 
        153 HIP 103752     simbad        315.366692400        -68.209592550 
